team_id,setup_link
SKB-F1,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjEiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiIxZWY0OTI2N2RjYWM0MWUwNjkyYzhlMTQxNTU3NGU5MmJkYTE4NWE4MWU5MmIxZDZlZWJhZjA1M2QzODg2ZjAwIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6ImUwOGViNzNlMjQ0MmIzYTQ0NjYxYzBkMyJ9.Uc0eOx19YZr4Ds5AXf_E1KhpecuI_0QAmanN6QbwZRY
SKB-F2,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjIiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6IjBhYWQzYWU1YWYxMTNjYTExNDU1MWNlOSJ9.zOCVESTlg4I_W64LujZxZQ3Zvx6kWjFEWjlO_N7znbM
SKB-F3,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjMiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6ImE1ZGY3YTYxZmIwYmMwMmY2OWY1NTQ1YiJ9.gOmhLYg_r0TTgrGejxIkU4iXiOp5MGEzM9L9JlhBbGc
SKB-F4,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjQiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6ImQ3NjY2MDM0NmQxZjdmMmQzN2I2NGIzNCJ9.uL1RAfbRUvDOqfYpVqwDHWydeUbZA2aW8xmjIMbNui8
SKB-F5,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjUiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6IjE0NDQ1OTU2NzI0ZWY1MmE2ZWIzMjg0YiJ9.a55Pyf2mI_qYMDrIrJ09LAWr5-QIbRdCm2KOzqHXpaY
SKB-F6,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjYiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6ImJiYjk4YWM0YjUzYWMxOGZlNmM1NDNlNSJ9.wBNTfzTVqelrvyX17c1Zwr81ycowWU5qpn_G2qDl_S4
SKB-F7,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjciLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6IjAwMGY2ZWFmYjY2MjdjYmU5OTMzYjNlZiJ9.NwwiZINqqy3ZT_S_ssvcce5QGv_GiO9cZOc2-KUt7MM
SKB-F8,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjgiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6IjFmZDVmOTMwZjMwNzk5NzViNjVhNmM3ZSJ9.RrfKilObogf_LmG3sjrXwlh-V_5SBADKnzEIYPyAXIQ
SKB-F9,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjkiLCJwYXNzd29yZEhhc2hEaWdlc3QiOiJlZjc5N2M4MTE4ZjAyZGZiNjQ5NjA3ZGQ1ZDNmOGM3NjIzMDQ4YzljMDYzZDUzMmNjOTVjNWVkN2E4OThhNjRmIiwiZXhwIjoxNzc2MzM2MDc2LCJub25jZSI6IjE2OGVmNDI5YzVhMmQxM2MyMDM5NmM2NSJ9.TdUdZw_5DIyuucL9RWzxc0uTI1O1rIySQrQkC9uAoNU
SKB-F10,https://sankalpbharat.stvincentngp.edu.in/final-round/setup-password?token=eyJ0ZWFtSWQiOiJTS0ItRjEwIiwicGFzc3dvcmRIYXNoRGlnZXN0IjoiNzZlYzQxMmY2NTIyODViZTFlZjdjNTg1YmFkMTYxYWNlMzg1YjI5YWM1YzlhZDNiMWEzMzE3NmRkMWE4ZmYyNyIsImV4cCI6MTc3NjMzNjA3Niwibm9uY2UiOiIyYjBmOTFkNTZlM2UxMmFlMTJmNTI2NmQifQ.ypG-cJHd3ydwmy8bbBr_q8n-b3kEmBlJg9wnMJeck9g
